# entry	call_count	last_frame	exits (pc:kind,...)
0286BF	105	1001908	028715:0
028716	34	1001751	02873A:0
02875B	2	1001450	0287B0:0
0287B1	2	1001450	0287E2:0
0287E3	2	1001449	028825:0
028826	2	1001449	028857:0
028858	288	1001450	02889B:0
02886B	288	1001449	02889B:0
0288FB	575	1002012	0288FA:0
028905	1146	1002012	02892D:0
02892E	2	1001419	02897F:0
028980	2	1001418	02898E:0
02898F	2	1001419	02F939:0
0289D0	2	1001417	028A50:0
028A66	12	1001864	028A7B:0
028A7C	12	1001419	028699:0
028A89	8	1001795	028B1B:0
028B1C	2	1001449	028BC6:0
028B44	2	1001448	02DA72:0
028B7F	571	1002012	028BC6:0
028BC7	4	1001795	028BCB:0
028D2F	6	1001865	028BCB:0
028D35	10	1001865	0288FA:0
028DA8	12	1001794	028EA4:0
028EA5	12	1001794	028EC0:0
028EC1	14	1001794	028EC9:0
028ECA	2	1001448	029057:0
029058	2	1001447	02857B:0
029063	2	1001447	028641:0
029073	2	1001446	02909F:0
0290A0	74	1001446	0290C1:0
0290C2	2	1001450	0291D1:0
029132	10	1001450	029136:0
029137	2	1001446	028406:0
029150	2	1001447	029178:0
029179	17	1001744	0291A4:0
0291A9	8	1001450	0291D1:0
0291D2	2	1001446	028699:0
029286	1102	1002014	0292C9:0
0292CA	4	1001883	0292D5:0
02941A	1102	1002014	029432:0
029433	1102	1002014	029419:0,029415:0
02946B	635	1002011	029471:0
029472	635	1002011	02949A:0
02966D	635	1002011	029681:0
029682	635	1002011	0299F0:0,029757:0
0296C8	80	1002015	029A62:0
0296FA	78	1002012	0299B5:0,0297A4:0,029824:0,0296F8:0,0299C9:0,0299F0:0,02A2A0:0
029719	493	1001883	0299F0:0,0299B5:0,0299C9:0,02A2A0:0
029738	432	1002012	029756:0
029989	91	1002014	029A62:0
0299D3	100	1002015	029A62:0
0299DC	20	1001989	029A62:0
029A05	100	1002014	029A62:0
029A63	2	1001442	029AF3:0
029A8B	2	1001441	029AB6:0
029AF4	2	1001441	029CA0:0
029B59	117	1002014	029B76:0
029B77	357	1002014	029B90:0
029BB5	2	1001576	029CA0:0
029BBE	6	1001441	029CA0:0
029BC7	109	1002014	029CA0:0
029CA1	2	1001437	029CBE:0
029CD0	50	1001437	029D66:0
029D69	2	1001438	029D89:0
029D8A	10	1001438	029DCC:0
029DCD	20	1001438	029E9B:0
029E9C	2	1001422	029EAC:0
029FA4	96	1001422	02A06F:0
02A070	2	1001435	02A08D:0
02A08E	720	1001435	02A12B:0
02A12C	2	1001436	02A1BD:0
02A1D7	2	1001436	02A1F2:0
02A1F8	740	1001985	02A20B:0
02A20C	2	1001419	02A2A0:0
02A2A1	92	1002013	02A39D:0
02A39E	2	1001436	02A410:0
02A411	156	1001985	02A42E:0
02A42F	4	1001565	02A454:0
02A455	1136	1002013	02A490:0
02A491	13443	1002013	02A496:0
02A497	10593	1002013	02A4AB:0,02A4C7:0
02A49B	240	1001908	02A4AB:0
02A626	4240	1001985	02A781:0,02A6A3:0,02A64D:0,02A6BC:0,02A4AB:0,02A764:0,02A7F0:0,02A74F:0
02A765	70	1001908	02873A:0
02A811	1102	1002014	02A8EC:0,02A92C:0,02A82C:0
02A96B	2	1001450	02A98C:0
02AA63	2	1001450	02AA70:0
02ABD2	42	1002015	02ABDC:0
02ABF4	1102	1002015	02ABFF:0,02AC22:0
02AC23	1102	1002015	02AC54:0,02B8A1:0,02B20D:0
02ACAF	1102	1002015	02AD2D:0
02BAD2	1102	1002015	02BB0A:0
02BB0B	43232	1002015	02BB19:0
02BB1A	4408	1002015	02BB28:0
02BB29	1102	1002015	02BBE2:0
02BBE3	1102	1002015	02BC39:0
02BC4E	40	1002011	02BC56:0
02BC82	40	1002011	02BC8D:0
02BC8E	40	1002011	02BC9C:0
02BCAD	4	1001883	028512:0
02BCB2	6	1001874	028512:0
02BCC2	10	1001883	02BCD1:0
02BD43	1536	1001863	02BDAD:0
02BDAE	2	1001585	02BDD2:0
02BDD3	2	1001874	02BE55:0
02BEC2	13	1001908	02BED6:0
02BEDD	2	1001883	02BEEF:1
02BEF0	2	1001883	0293C4:0
02C02B	12	1001793	02C032:0
02C033	2	1001750	02C7F0:0
